R14AKATEGO;Lapangan.Usaha
1;A Pertanian, Kehutanan & Perikanan
2;B Pertambangan & Penggalian
3;C Industri Pengolahan
4;D Pengadaan Listrik, Gas, Uap/Air Panas & Udara Dingin
5;E Treatment Air, Treatment Air Limbah, Treatment & Pemulihan
6;F Konstruksi
7;"G Perdagangan Besar & Eceran; Reparasi & Perawatan Mobil & S"
8;H Pengangkutan & Pergudangan
9;I Penyediaan Akomodasi & Penyediaan Makan Minum
10;J Informasi & Komunikasi
11;K Aktivitas Keuangan & Asuransi
12;L Real Estat
13;M,N Jasa Profesional & Perusahaan
14;O Administrasi Pemerintahan, Pertahanan & Jaminan Sosial Waj
15;P Pendidikan
16;Q Aktivitas Kesehatan Manusia & Aktivitas Sosial
17;R,S,T,U Jasa Lainnya
